194,194,186,176,166,156
192,186,176,166,156,146
168,162,152,142,132,122
168,160,152,142,132,122
176,170,162,152,142,132
188,184,174,164,154,144
180,174,166,156,146,136
174,170,160,150,140,130
170,158,148,138,128,118
190,186,176,166,156,146
190,186,176,166,156,146
182,176,166,156,146,136
182,178,168,158,148,138
194,188,178,168,158,148
182,176,168,158,148,138
178,172,166,156,146,136
182,174,164,154,144,134
172,160,152,142,132,122
186,180,170,160,150,140
192,192,184,174,164,154
186,178,168,158,148,138
184,178,170,160,150,140
200,198,190,180,170,160
192,184,176,166,156,146
178,170,160,150,140,130
190,182,172,162,152,142
184,180,170,160,150,140
192,188,178,168,158,148
180,172,164,154,144,134
188,186,176,166,156,146
176,170,160,150,140,130
180,176,166,156,146,136
192,190,182,172,162,152
172,162,152,142,132,122
188,188,178,168,158,148
182,176,170,162,152,142
176,168,158,148,138,128
178,174,164,154,144,134
182,176,166,156,146,136
184,182,172,162,152,142
188,186,178,168,158,148
198,196,190,180,170,160
186,180,174,164,154,144
182,180,174,164,154,144
178,170,160,150,140,130
186,186,178,168,158,148
176,168,160,150,140,130
188,182,172,162,152,142
178,170,160,150,140,130
178,174,164,154,144,134
200,196,188,180,170,160
184,180,170,160,150,140
184,184,176,166,156,146
196,188,180,170,160,150
192,184,174,164,154,144
190,180,170,160,150,140
174,168,158,148,138,128
184,182,174,164,154,144
178,170,160,150,140,130
174,166,158,148,138,128
178,170,160,150,140,130
187.5,186,180,170,160,150
180,172,162,152,142,132
188,182,172,162,152,142
184,176,166,156,146,136
182,176,166,156,146,136
186,180,170,160,150,140
182,174,164,154,144,134
186,182,176,166,156,146
182,176,166,156,146,136
176,170,160,150,140,130
186,182,172,162,152,142
184,182,172,162,152,142
192,184,174,164,154,144
202,202,192,182,172,162
180,174,164,154,144,134
194,190,180,170,160,150
198,194,184,174,164,154
176,170,160,150,140,130
182,172,162,152,142,132
186,186,180,170,160,150
194,188,180,170,160,150
200,194,184,174,164,154
200,198,188,178,168,158
188,188,180,170,160,150
192,184,174,164,154,144
178,166,158,148,138,128
182,178,170,160,150,140
186,184,176,166,156,146
188,182,172,162,152,142
194,190,182,174,164,154
194,194,184,174,164,154
174,164,154,144,134,124
188,186,176,166,156,146
182,174,164,154,144,134
194,192,184,176,168,158
184,178,170,160,150,140
178,176,166,156,146,136
196,194,184,174,164,154
190,184,174,164,154,144
